Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Magnetovision_2D_256_2\Project Outputs for Magnetovision_2D_256_2\Pick Place\Pick Place for Mag256_9mm.csv

========================================================================================================================
File Design Information:

Date:       10/01/25
Time:       10:15
Revision:   cd8550b4dba492457a91c8a50a1b6ad8cbe399fa
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation"
"U6_F22","ADA4807-4","TopLayer","FP-RU-14-IPC_A","160.1000mm","45.5000mm","90"
"U6_F21","ADA4807-4","TopLayer","FP-RU-14-IPC_A","160.1561mm","119.4187mm","90"
"U6_F12","ADA4807-4","TopLayer","FP-RU-14-IPC_A","160.1000mm","58.7500mm","90"
"U6_F11","ADA4807-4","TopLayer","FP-RU-14-IPC_A","160.1561mm","132.6687mm","90"
"U4_F116","ADA4807-2ARMZ-R7","BottomLayer","FP-RM-8-IPC_A","146.3741mm","33.5337mm","0"
"U4_F115","ADA4807-2ARMZ-R7","BottomLayer","FP-RM-8-IPC_A","110.3607mm","33.5490mm","0"
"U4_F114","ADA4807-2ARMZ-R7","BottomLayer","FP-RM-8-IPC_A","74.3617mm","33.5407mm","0"
"U4_F113","ADA4807-2ARMZ-R7","BottomLayer","FP-RM-8-IPC_A","38.3550mm","33.5711mm","0"
"U4_F112","ADA4807-2ARMZ-R7","BottomLayer","FP-RM-8-IPC_A","146.3360mm","69.5505mm","0"
"U4_F111","ADA4807-2ARMZ-R7","BottomLayer","FP-RM-8-IPC_A","110.3553mm","69.5566mm","0"
"U4_F110","ADA4807-2ARMZ-R7","BottomLayer","FP-RM-8-IPC_A","74.3240mm","69.5270mm","0"
"U4_F19","ADA4807-2ARMZ-R7","BottomLayer","FP-RM-8-IPC_A","38.3231mm","69.5701mm","0"
"U4_F18","ADA4807-2ARMZ-R7","BottomLayer","FP-RM-8-IPC_A","146.3416mm","105.5510mm","0"
"U4_F17","ADA4807-2ARMZ-R7","BottomLayer","FP-RM-8-IPC_A","110.3291mm","105.5464mm","0"
"U4_F16","ADA4807-2ARMZ-R7","BottomLayer","FP-RM-8-IPC_A","74.3334mm","105.5151mm","0"
"U4_F15","ADA4807-2ARMZ-R7","BottomLayer","FP-RM-8-IPC_A","38.3560mm","105.5700mm","0"
"U4_F14","ADA4807-2ARMZ-R7","BottomLayer","FP-RM-8-IPC_A","146.3730mm","141.5501mm","0"
"U4_F13","ADA4807-2ARMZ-R7","BottomLayer","FP-RM-8-IPC_A","110.3977mm","141.5695mm","0"
"U4_F12","ADA4807-2ARMZ-R7","BottomLayer","FP-RM-8-IPC_A","74.3787mm","141.5676mm","0"
"U4_F11","ADA4807-2ARMZ-R7","BottomLayer","FP-RM-8-IPC_A","38.3500mm","141.5500mm","0"
"U5_B16","ADG706BRUZ","BottomLayer","ADI-RU-28_M","137.2005mm","33.5917mm","90"
"U5_B15","ADG706BRUZ","BottomLayer","ADI-RU-28_M","101.1872mm","33.6069mm","90"
"U5_B14","ADG706BRUZ","BottomLayer","ADI-RU-28_M","65.1881mm","33.5987mm","90"
"U5_B13","ADG706BRUZ","BottomLayer","ADI-RU-28_M","29.1814mm","33.6290mm","90"
"U5_B12","ADG706BRUZ","BottomLayer","ADI-RU-28_M","137.1625mm","69.6085mm","90"
"U5_B11","ADG706BRUZ","BottomLayer","ADI-RU-28_M","101.1817mm","69.6146mm","90"
"U5_B10","ADG706BRUZ","BottomLayer","ADI-RU-28_M","65.1504mm","69.5850mm","90"
"U5_B9","ADG706BRUZ","BottomLayer","ADI-RU-28_M","29.1495mm","69.6281mm","90"
"U5_B8","ADG706BRUZ","BottomLayer","ADI-RU-28_M","137.1681mm","105.6090mm","90"
